title,category_name,primary_category,subcategory,quality_score,target_audience
"Green Leaf WW3D Wonder Extension Cord Winder, Gray, 150 Foot",Industrial  Scientific,Tools & Hardware,Extension Cord Accessories,5,Home Users
"8pcs Toilet Seat Bumpers Universal Toilet Replacement Bumper for Bidet Attachment Toilet Seat Bumper Pads with Strong Adhesive for Home, Hotel, Hospital",Industrial  Scientific,Home & Kitchen,Bathroom Accessories,4,Home Users
"YaeCCC 19 Pcs Hole Saw Kit 3/4''(19mm)- 6''(152mm) Full Set in Case with Mandrels, Hex Key and Install Plate for Soft Wood, PVC Board and Plastic Plate Drilling",Industrial  Scientific,Tools & Hardware,Hole Saw Kits,4,Professionals
LLPT Butyl Putty Tape White 1 Inch x 33Ft Tight Seal for Leak Proof RV Repair Window Glass Boat Sealing Roof Pipe Patching(WST233),Industrial  Scientific,Tools & Hardware,Sealants & Adhesives,5,Home Users
"Lightbeam 16"" Long Stem Deep Fry Thermometer with Clip, Instant Read 2"" Dial Oil Thermometer Meat Thermometer for Deep Frying, Broiling, BBQ & Turkey ...",Industrial  Scientific,Home & Kitchen,Food Thermometers,4,Home Users
"etguuds White USB C to USB C Cable [10ft, 2-Pack], 60W Fast Charging Type C to Type C Charger Cable for Samsung Galaxy S23 S22 S21 S20 Ultra 5G, Z Flip/Fold 4 3, Note 20, Pixel 7 6 Pro & USB-C Laptop",Industrial  Scientific,Electronics,USB‑C Charging Cables,5,General Consumers
REAQER CPAP Hose Holder Hanger for Preventing tube leakage and tangle Adjustable and Sturdy,Industrial  Scientific,Health & Beauty,CPAP Accessories,5,Home Users
"SAVITA 2pcs Magnetic Bottle Openers, Can Tapper Magnetic Stainless Steel Can Opener Manual Bottle Punch Opener for Beer Bottles Cans Beverages (Black)",Industrial  Scientific,Home & Kitchen,Bottle Openers,4,Home Users
"Simba Lighting LED A19 Light Bulbs (4 Pack) 9W 60W Equivalent Standard Size Energy Efficient for Home Applications, E26 Medium Base, 2700K Warm White",Industrial  Scientific,Home & Kitchen,LED Light Bulbs,5,Home Users
"Knife Sharpening Stone,400/1000.2000/5000 Double Side Grit Waterstone,Best Whetstone Sharpener,Professional,Best Kitchen Blade Sharpener Stone, Nonslip Bamboo Base & Angle Guided",Industrial  Scientific,Home & Kitchen,Knife Sharpening Stones,4,Home Users
"Nelson Wood Shims - DIY Bundle Wood Shims 8-Inch Shims, High Performance Natural Wood, 100% Kiln Dried - 1 Pack (12 Shims Total)",Industrial  Scientific,Tools & Hardware,Wood Shims,4,Home Users
"NYXCL 60Pcs 2 Inch Quick Change Sanding Discs Set, 2Pcs 1/4"" Holders, Die Grinder Surface Conditioning Burr Rust Paint Removal",Industrial  Scientific,Tools & Hardware,Abrasive Discs,4,Professionals
Alpine FlyFit - Earplugs for Pressure Relief & Preventing Ear Pain While Flying - Airplane Travel Essentials - Comfortable Reusable Hypoallergenic Earplugs With Ultra Soft Filter,Industrial  Scientific,Health & Beauty,Travel Earplugs,5,Professionals
"MIXPOWER Extra Long Torx Bit Socket Set, 3.5-inch Length, Torx Bit in 3/8"" Drive T30 - T70, 8 Pieces Set",Industrial  Scientific,Tools & Hardware,Torx Bit Sets,5,Professionals
"Party Essentials Hard Plastic Cutlery Combo Pack, 96 Pieces/48 Place Settings, Assorted Neon Brights",Industrial  Scientific,Home & Kitchen,Disposable Tableware,5,Home Users
"Utiva UTI Test Strips – Home Test Kit for Urinary Tract Infection – Clinically Accurate Results in 2 Minutes – Urine Test Strips for Women and Men, Bundle of 3 Boxes (9 Strips)",Industrial  Scientific,Health & Beauty,Urine Test Strips,5,Home Users
